session_id,participant_id,conversation_order,condition_code,condition_order,conversation_within_condition,latin_square_sequence,created_at,updated_at,topic_id,variation_id,topic_prompt,topic_preference,style_name,model_size,model_name,personality_context_enabled,status
c1e130c5-19fc-4cbd-b63b-0eb7ac5efc91,P-2644CBC033,1,C,1,1,3,2026-09-20T10:49:15,2026-09-20T10:51:17,T6,A,"You receive an online order, but the package does not contain the exact items you purchased. How do you typically handle the situation?",low,Neutral Engagement Agent,small,google/gemma-3-4b-it,1,complete
00a64c26-fc04-4f39-9cd3-2f7ae316dba5,P-2644CBC033,2,C,1,2,3,2026-09-20T10:49:15,2026-09-20T10:53:53,T6,C,"You receive an online order, but the delivery arrives much later than expected. How do you typically react?",low,Neutral Engagement Agent,small,google/gemma-3-4b-it,1,complete
61420b66-ab8c-42f6-a586-b30c56896e1b,P-2644CBC033,3,D,2,1,3,2026-09-20T10:49:15,2026-09-20T11:39:46,T6,C,"You receive an online order, but the delivery arrives much later than expected. How do you typically react?",low,Neutral Engagement Agent,small,google/gemma-3-4b-it,0,complete
8e6ecacf-bc32-4054-bd8a-89534cae4081,P-2644CBC033,4,D,2,2,3,2026-09-20T10:49:15,2026-09-20T11:41:53,T6,A,"You receive an online order, but the package does not contain the exact items you purchased. How do you typically handle the situation?",low,Neutral Engagement Agent,small,google/gemma-3-4b-it,0,complete
743d061d-c428-40fa-83e5-c102eed04fc3,P-2644CBC033,5,B,3,1,3,2026-09-20T10:49:15,2026-09-20T11:47:00,T1,D,"You are at a supermarket in Greece, choosing lentils. You notice both branded options and supermarket own brands. What factors do you consider before deciding?",high,Neutral Engagement Agent,small,google/gemma-3-4b-it,0,complete
aa3fe7b6-131b-4615-abf3-813c0f1aad88,P-2644CBC033,6,B,3,2,3,2026-09-20T10:49:15,2026-09-20T11:51:38,T1,C,"You are at a supermarket in Greece, choosing cheese. You notice both branded options and supermarket own brands. What factors do you consider before deciding?",high,Neutral Engagement Agent,small,google/gemma-3-4b-it,0,complete
da958aac-868c-4517-9992-f10dcfb30560,P-2644CBC033,7,E,4,1,3,2026-09-20T10:49:15,2026-09-20T11:57:21,T1,D,"You are at a supermarket in Greece, choosing lentils. You notice both branded options and supermarket own brands. What factors do you consider before deciding?",high,Neutral Engagement Agent,medium,google/gemma-4-31b-it,1,complete
225665bf-980c-4c4a-92af-deb7fc8eb20b,P-2644CBC033,8,E,4,2,3,2026-09-20T10:49:15,2026-09-20T12:01:31,T1,C,"You are at a supermarket in Greece, choosing cheese. You notice both branded options and supermarket own brands. What factors do you consider before deciding?",high,Neutral Engagement Agent,medium,google/gemma-4-31b-it,1,complete
e1be14e4-b451-4f54-97c8-1ab60bb4f0fc,P-2644CBC033,9,A,5,1,3,2026-09-20T10:49:15,2026-09-20T12:07:10,T1,C,"You are at a supermarket in Greece, choosing cheese. You notice both branded options and supermarket own brands. What factors do you consider before deciding?",high,Neutral Engagement Agent,small,google/gemma-3-4b-it,1,complete
815c2075-dc37-4e60-8a68-3538421c2c1b,P-2644CBC033,10,A,5,2,3,2026-09-20T10:49:15,2026-09-20T12:10:09,T1,D,"You are at a supermarket in Greece, choosing lentils. You notice both branded options and supermarket own brands. What factors do you consider before deciding?",high,Neutral Engagement Agent,small,google/gemma-3-4b-it,1,complete
